Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Lorong 5 Toa Payoh,HDB 3 Room,57,Lorong 5 Toa Payoh,,57 Lorong 5 Toa Payoh,,,60,49,318000,https://www.99.co/singapore/sale/property/57-lorong-5-toa-payoh-hdb-efoHj7A6rqMMHNn8imXm3h,50.0,3,1
Tampines,HDB Executive,426,Tampines,,426 Tamp,,,148,62,898000,https://www.99.co/singapore/sale/property/426-tampines-street-41-hdb-erFRAAisTLYdjPL2Eyur5B,37.0,3,3
Henderson,HDB 3 Room,95B,Henderson Road,,95B Henderson Road,,,67,95,799000,https://www.99.co/singapore/sale/property/95b-henderson-road-hdb-L8cJQQPNHyKQBsiYKDBDHj,4.0,2,2
Bishan,HDB 4 Room,106,Bishan Street 12,,106 Bishan Street 12,,,104,61,690000,https://www.99.co/singapore/sale/property/106-bishan-street-12-hdb-K3H6MBGZtP5g3Te4qcLkgG,38.0,3,2
Punggol Field,HDB 5 Room,101A,Punggol Field,,101A Punggol Field,,,109,78,610000,https://www.99.co/singapore/sale/property/101a-punggol-field-hdb-WnizxzezvYthfZYFjNv8Mx,21.0,3,2
Upper Boon Keng,HDB 5 Room,38,Upper Boon Keng Road,,38 Upper Boon Keng Road,,,116,52,758888,https://www.99.co/singapore/sale/property/38-upper-boon-keng-road-hdb-WbBoJ9kApvUQxgun7XNUNc,47.0,3,2
Teban Gardens,HDB 3 Room,33,Teban Gardens Road,,33 Teban Gardens Road,,,77,53,369000,https://www.99.co/singapore/sale/property/33-teban-gardens-road-hdb-nDjvzEbhBCZxfEfZ8hUep2,46.0,3,2
Sengkang West Way,HDB 3 Room,450B,Sengkang West Way,,450B Sengkang West Way,,,66,90,475000,https://www.99.co/singapore/sale/property/450b-sengkang-west-way-hdb-jhNsoPWfPRpejR4E8u6y4V,9.0,2,2
Bedok Reservoir,HDB 5 Room,611,Bedok Reservoir Road,,611 Bedok Reservoir Road,,,126,69,728000,https://www.99.co/singapore/sale/property/611-bedok-reservoir-road-hdb-3ELPtc5VAPnWRx9uBpLGSZ,30.0,3,2
Pasir Ris,HDB Executive,448,Pasir Ris Drive 6,,448 Pasir Ris Drive 6,,,145,65,950000,https://www.99.co/singapore/sale/property/448-pasir-ris-drive-6-hdb-iNvNstDZvkyb9sXJ7HQrsG,34.0,4,3
Jurong West,HDB 4 Room,723,Jurong West Avenue 5,,723 Jurong West Avenue 5,,,103,66,499000,https://www.99.co/singapore/sale/property/723-jurong-west-avenue-5-hdb-6ebkNNcprin4iEsBPBq8ii,33.0,3,2
Jalan Bahagia,HDB Executive,49,Jalan Bahagia,,49 Jalan Bahagia,,,79,48,899000,https://www.99.co/singapore/sale/property/49-jalan-bahagia-hdb-MBXZHYHqaEaSzC3nLJ5usC,51.0,2,2
Bukit Batok East,HDB 4 Room,292B,Bukit Batok East Avenue 6,,292B Bukit Batok East Avenue 6,,,92,93,645000,https://www.99.co/singapore/sale/property/292b-bukit-batok-east-avenue-6-hdb-HVswQcYkww8yNPpNgpdBz7,6.0,3,2
Yishun,HDB 4 Room,673B,Yishun Avenue 4,,673B Yishun Avenue 4,,,92,94,545000,https://www.99.co/singapore/sale/property/673b-yishun-avenue-4-hdb-hnWRAHVJsSBDCP9QTjZrpd,5.0,3,2
Tampines,HDB 5 Room,712,Tampines,,712 Tamp,,,118,73,788000,https://www.99.co/singapore/sale/property/712-tampines-street-71-hdb-Pa4BESj4DU3XCLGm8FdNhh,26.0,3,2
Toa Payoh East,HDB 4 Room,262,Toa Payoh East,,262 Toa Payoh East,,,92,94,1180000,https://www.99.co/singapore/sale/property/262-toa-payoh-east-hdb-CcxNyCP7kZqQscU5LmPVDE,5.0,3,2
Bedok North,HDB 3 Room,107,Bedok North Road,,107 Bedok North Road,,,66,53,399000,https://www.99.co/singapore/sale/property/107-bedok-north-road-hdb-YVB6erVhrBMc4gBTEyNXfo,46.0,2,2
