Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
Shaw Plaza,Supermarket,360,Balestier Road,329783,"360 Balestier Road, #B1-01, Shaw Plaza Singapore 329783",103.8510221,1.3254267
Siglap New Market,Supermarket,934,East Coast Road,459125,"934 East Coast Road, Siglap New Market Singapore 459125",103.9253855,1.3123357
Singapore Post,Supermarket,10,Eunos Road 8,408600,"10 Eunos Road 8, #B1-101 to 107, SingPost Centre Singapore 408600",103.8935678,1.3189319
Square 2,Supermarket,10,Sinaran Drive,307506,"10 Sinaran Drive, #04-46/47/48/49, Square 2 Singapore 307506",103.8444396,1.320732
Stirling Road,Supermarket,170,Stirling Road,140170,"170 Stirling Road, #01-1147 Singapore 140170",103.8030651,1.290898
Tai Seng,Supermarket,18,Tai Seng Street,539775,"18 Tai Seng Street, #B1-13, Mapletree 18 Singapore 539775",103.8887063,1.3361996
Taman Jurong,Supermarket,399,Yung Sheng Road,610399,"399 Yung Sheng Road, #01-35, Taman Jurong Shopping Centre Singapore 610399",103.7207694,1.3344934
Tampines Blk 138,Supermarket,138,Tampines Street 11,521138,"138 Tampines Street 11, #01-136 Singapore 521138",103.9571937,1.3474806
Tampines Blk 475,Supermarket,475,Tampines Street 44,520475,"475 Tampines Street 44, #01-145 Singapore 520475",103.9534624,1.3602084
Tampines Community Centre,Supermarket,866A,Tampines Street 83,521866,"866A Tampines Street 83, #01-01 Singapore 521866",103.9342996,1.3553016
Tampines Hub,Supermarket,1,Tampines Walk,528523,"1 Tampines Walk, #B1-01 Singapore 528523",103.9390113,1.3556049
Tampines Mall,Supermarket,4,Tampines Central 5,529510,"4 Tampines Central 5, #B1-12 Singapore 529510",103.9447383,1.35254345
Tampines Street 86,Supermarket,872C,Tampines Street 86,523872,"Blk 872C Tampines Street 86, #02-01 Singapore 523872",103.9317229,1.3553896
Tanjong Pagar,Supermarket,1,Tanjong Pagar Plaza,82001,"1 Tanjong Pagar Plaza, #01-01 Singapore 082001",103.8429932,1.2755704
Teban Garden,Supermarket,37,Teban Garden Road,600037,"37 Teban Garden Road, #01-304/305/306 Singapore 600037",103.742724,1.320831
Tekka,Supermarket,2,Serangoon Road,218227,"2 Serangoon Road, #B1-06/09, Tekka Place Singapore 218227",103.8514027,1.3053068
Telok Blangah,Supermarket,78A,Telok Blangah Street 32,100078,"78A Telok Blangah Street 32, #01-01/02 Singapore 100078",103.8085646,1.2736185
Toa Payoh A,Supermarket,192,Toa Payoh Lorong 4,310192,"Blk 192 Toa Payoh Lorong 4, #01-670/672 Singapore 310192",103.8508282,1.3317764
Toa Payoh HDB Hub,Supermarket,500,Toa Payoh Lorong 6,310500,"500 Toa Payoh Lorong 6, #B1-32 & #01-33 Singapore 310500",103.8570758,1.3384818
Upper Boon Keng,Supermarket,5,Upper Boon Keng Road,380005,"5 Upper Boon Keng Road, #01-05 Singapore 380005",103.8723891,1.31259415
West Coast,Supermarket,502,"West Coast Drive,",120502,"502 West Coast Drive, #01-41 Singapore 120502",103.7591074,1.3117956
White Sands,Supermarket,1,Pasir Ris Central Street 3,518457,"1 Pasir Ris Central Street 3, #B1-10 Singapore 518457",103.9497254,1.37254305
Wisteria Mall,Supermarket,598,Yishun Ring Road,768698,"598 Yishun Ring Road, #01-01, Wisteria Mall Singapore 768698",103.8410061,1.4180875
Woodlands Ave 1,Supermarket,570B,Woodlands Ave 1,732570,"570B Woodlands Ave 1, #01-06 Singapore 732570",103.7907695,1.430908
Woodlands Civic Centre,Supermarket,900,South Woodlands Drive,730900,"900 South Woodlands Drive, #B1-01 Singapore 730900",103.7871926,1.4349069
Yew Tee Point,Supermarket,21,Choa Chu Kang North 6,689578,"21 Choa Chu Kang North 6, #B1-01 Singapore 689578",103.7467482,1.3968643
Yishun Ring Blk 414,Supermarket,414,Yishun Ring Road,760414,"414 Yishun Ring Road, #01-1853 Singapore 760414",103.8466717,1.4246275
Yung Kuang,Supermarket,63,Yung Kuang Road,610063,"63/66 Yung Kuang Road, #01-119 & #02-119 Singapore 610063",103.7226023,1.3320147
