Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Choa Chu Kang,HDB Executive,448,Choa Chu Kang Avenue 4,,Blk 448 Choa Chu Kang Avenue 4,,,143,73,580000,https://www.srx.com.sg/listings/100164911/for-sale-choa-chu-kang-avenue-4-choa-chu-kang-avenue-4,26.0,4,3.0
Strathmore,HDB 4 Room,59,Strathmore Avenue,,Blk 59 Strathmore Avenue,,,96,76,630000,https://www.srx.com.sg/listings/100326721/for-sale-strathmore-avenue-strathmore-avenue,23.0,3,2.0
Hougang,HDB 4 Room,567,Hougang Street 51,,Blk 567 Hougang Street 51,,,99,73,428000,https://www.srx.com.sg/listings/100518761/for-sale-hougang-street-51-hougang-street-51,26.0,3,2.0
Jurong West,HDB 5 Room,529,Jurong West Street 52,,Blk 529 Jurong West Street 52,,,118,58,428000,https://www.srx.com.sg/listings/100483831/for-sale-jurong-west-street-52-jurong-west-street-52,41.0,3,2.0
Lorong 2 Toa Payoh,HDB Executive,99C,Lorong 2 Toa Payoh,,Blk 99C Lorong 2 Toa Payoh,,,149,69,428000,https://www.srx.com.sg/listings/100407981/for-sale-lorong-2-toa-payoh-lorong-2-toa-payoh,30.0,4,2.0
Rivervale Walk,HDB 4 Room,108,Rivervale Walk,,Blk 108 Rivervale Walk,,,101,75,550000,https://www.srx.com.sg/listings/98319701/for-sale-rivervale-walk-rivervale-walk,24.0,3,2.0
Marine Crescent Ville,HDB 4 Room,35,Marine Crescent Ville,,Blk 35 Marine Crescent Ville,,,82,51,550000,https://www.srx.com.sg/listings/96255731/for-sale-marine-crescent-ville-marine-crescent,48.0,3,2.0
Bedok Reservoir,HDB 3 Room,615,Bedok Reservoir Road,,Blk 615 Bedok Reservoir Road,,,68,57,550000,https://www.srx.com.sg/listings/100023131/for-sale-bedok-reservoir-road-bedok-reservoir-road,42.0,2,2.0
Bedok Reservoir,HDB 4 Room,718,Bedok Reservoir Road,,Blk 718 Bedok Reservoir Road,,,104,60,366000,https://www.srx.com.sg/listings/100358521/for-sale-bedok-reservoir-road-bedok-reservoir-road,39.0,3,2.0
Tampines,HDB 4 Room,365,Tampines Street 34,,Blk 365 Tampines Street 34,,,100,73,366000,https://www.srx.com.sg/listings/100648691/for-sale-tampines-street-34-tampines-street-34,26.0,3,2.0
Serangoon Central,HDB 4 Room,204,Serangoon Central,,Blk 204 Serangoon Central,,,84,61,366000,https://www.srx.com.sg/listings/100346871/for-sale-serangoon-central-serangoon-central,38.0,3,2.0
Sembawang Close,HDB 5 Room,321,Sembawang Close,,Blk 321 Sembawang Close,,,119,75,750000,https://www.srx.com.sg/listings/100372981/for-sale-sembawang-close-sembawang-close,24.0,3,2.0
Canberra,HDB 5 Room,351A,Canberra Road,,Blk 351A Canberra Road,,,110,77,450000,https://www.srx.com.sg/listings/98465721/for-sale-canberra-road-canberra-road,22.0,3,2.0
Jurong West,HDB 5 Room,271C,Jurong West Street 24,,Blk 271C Jurong West Street 24,,,113,79,450000,https://www.srx.com.sg/listings/100549491/for-sale-jurong-west-street-24-5rm-premium-apartment-design-and-build,20.0,3,2.0
Pasir Ris,HDB Executive,245,Pasir Ris Street 21,,Blk 245 Pasir Ris Street 21,,,148,69,435000,https://www.srx.com.sg/listings/99368311/for-sale-pasir-ris-street-21-pasir-ris-street-21,30.0,3,2.0
