Title,Link,Bed,Toilet,Size,Room,Model,Built,Price,Remaing
Blk 99C Lorong 2 Toa Payoh,https://www.srx.com.sg/listings/100407981/for-sale-lorong-2-toa-payoh-lorong-2-toa-payoh,4,2,149,HDB Executive,Apartment,1993,428000,30
Blk 108 Rivervale Walk,https://www.srx.com.sg/listings/98319701/for-sale-rivervale-walk-rivervale-walk,3,2,101,4 Room,Model A,1999,550000,24
Blk 35 Marine Crescent Ville,https://www.srx.com.sg/listings/96255731/for-sale-marine-crescent-ville-marine-crescent,3,2,82,4 Room,Improved,1975,550000,48
Blk 615 Bedok Reservoir Road,https://www.srx.com.sg/listings/100023131/for-sale-bedok-reservoir-road-bedok-reservoir-road,2,2,68,3 Room,New Generation,1981,550000,42
Blk 718 Bedok Reservoir Road,https://www.srx.com.sg/listings/100358521/for-sale-bedok-reservoir-road-bedok-reservoir-road,3,2,104,4 Room,Model A,1984,366000,39
Blk 365 Tampines Street 34,https://www.srx.com.sg/listings/100648691/for-sale-tampines-street-34-tampines-street-34,3,2,100,4 Room,Model A,1997,366000,26
Blk 204 Serangoon Central,https://www.srx.com.sg/listings/100346871/for-sale-serangoon-central-serangoon-central,3,2,84,4 Room,Simplified,1985,366000,38
Blk 321 Sembawang Close,https://www.srx.com.sg/listings/100372981/for-sale-sembawang-close-sembawang-close,3,2,119,5 Room,Improved,1999,750000,24
Blk 662B Edgedale Plains,https://www.srx.com.sg/listings/100150051/for-sale-edgedale-plains-edgedale-plains,2,2,68,None,None,None,750000,None
Blk 509 Bukit Batok Street 52,https://www.srx.com.sg/listings/100692511/for-sale-bukit-batok-street-52-bukit-batok-street-52,3,None,84,4 Room,Simplified,1987,750000,36
Blk 351A Canberra Road,https://www.srx.com.sg/listings/98465721/for-sale-canberra-road-canberra-road,3,2,110,5 Room,Improved,2001,450000,22
Blk 462B Blossom Spring @ Yishun,https://www.srx.com.sg/listings/100484011/for-sale-blossom-spring-yishun-yishun-avenue-6,2,2,68,3 Room,Model A,2018,450000,5
Blk 271C Jurong West Street 24,https://www.srx.com.sg/listings/100549491/for-sale-jurong-west-street-24-5rm-premium-apartment-design-and-build,3,2,113,5 Room,Improved,2003,450000,20
Blk 245 Pasir Ris Street 21,https://www.srx.com.sg/listings/99368311/for-sale-pasir-ris-street-21-pasir-ris-street-21,3,2,148,HDB Executive,Apartment,1993,435000,30
Blk 405 Pasir Ris Drive 6,https://www.srx.com.sg/listings/100703201/for-sale-pasir-ris-drive-6-walking-distance-to-mrt-station,3,2,106,4 Room,Model A,1989,435000,34
Blk 64 Telok Blangah Drive,https://www.srx.com.sg/listings/100385521/for-sale-telok-blangah-drive-telok-blangah-drive,2,2,67,3 Room,New Generation,1978,435000,45
Blk 115A Eastlace @ Canberra,https://www.srx.com.sg/listings/100157821/for-sale-eastlace-canberra-canberra-walk,3,2,93,4 Room,Model A,2018,545000,5
Blk 329 Serangoon Avenue 3,https://www.srx.com.sg/listings/100696151/for-sale-serangoon-avenue-3-for-sale-4s-blk-329-serangoon-ave-3,3,2,89,4 Room,Simplified,1986,545000,37
Blk 149 Silat Avenue,https://www.srx.com.sg/listings/100607371/for-sale-silat-avenue-silat-avenue,2,2,83,3 Room,New Generation,1982,545000,41
Blk 620 Ang Mo Kio Avenue 9,https://www.srx.com.sg/listings/99005141/for-sale-ang-mo-kio-avenue-9-5i-renovated-move-in-unit-for-sale,3,2,121,5 Room,Improved,1980,950000,43
Blk 149 Silat Avenue,https://www.srx.com.sg/listings/100617701/for-sale-silat-avenue-silat-avenue,2,2,82,3 Room,New Generation,1982,950000,41
Blk 830A Jurong West Street 81,https://www.srx.com.sg/listings/100316431/for-sale-jurong-west-street-81-jurong-west-street-81,3,2,146,HDB Executive,Apartment,1993,950000,30
Blk 59C Geylang Bahru,https://www.srx.com.sg/listings/100616721/for-sale-geylang-bahru-geylang-bahru,3,2,120,5 Room,Improved,1998,710000,25
Blk 830A Jurong West Street 81,https://www.srx.com.sg/listings/100343351/for-sale-jurong-west-street-81-jurong-west-street-81,3,2,146,HDB Executive,Apartment,1993,710000,30
Blk 311B Trivelis,https://www.srx.com.sg/listings/98951391/for-sale-trivelis-clementi-avenue-4,3,2,79,4 Room,Model A,2014,710000,9
Blk 69 Telok Blangah Heights,https://www.srx.com.sg/listings/100105071/for-sale-telok-blangah-heights-telok-blangah-heights,3,2,93,4 Room,New Generation,1978,860000,45
Blk 22 Teban Vista,https://www.srx.com.sg/listings/100702821/for-sale-teban-vista-rare-and-quiet-facing-high-floor-4-rm-hdb-next-to,3,2,92,4 Room,Standard,2013,860000,10
Blk 345 Kang Ching Road,https://www.srx.com.sg/listings/100546871/for-sale-kang-ching-road-kang-ching-road,3,2,102,4 Room,Model A,1997,860000,26
Blk 481 Jurong West Street 41,https://www.srx.com.sg/listings/100212541/for-sale-jurong-west-street-41-jurong-west-street-41,2,2,66,3 Room,New Generation,1985,1210000,38
Blk 244 Jurong East Street 24,https://www.srx.com.sg/listings/100702741/for-sale-jurong-east-street-24-high-floor-no-noon-sun,2,2,67,3 Room,Improved(modified),1983,1210000,40
Blk 505 Serangoon North Avenue 4,https://www.srx.com.sg/listings/100417661/for-sale-serangoon-north-avenue-4-serious-seller-high-floor-unblocked-view-all-rac,4,2,124,5 Room,Standard,1992,1210000,31
Blk 289A Compassvale Crescent,https://www.srx.com.sg/listings/100270731/for-sale-compassvale-crescent-compassvale-crescent,3,2,113,5 Room,Premium Apartment,2017,550000,6
Blk 1 Dover Road,https://www.srx.com.sg/listings/100575971/for-sale-dover-road-dover-road,3,2,73,3 Room,Improved,1975,550000,48
Blk 524B Tampines Greenleaf,https://www.srx.com.sg/listings/100681321/for-sale-tampines-greenleaf-tampines-central-7,3,2,93,4 Room,Model A,2015,550000,8
Blk 475D Parkland Residences,https://www.srx.com.sg/listings/99990001/for-sale-parkland-residences-upper-serangoon-crescent,3,2,92,4 Room,Model A,2014,868000,9
Blk 182B Marsiling Greenview,https://www.srx.com.sg/listings/100692251/for-sale-marsiling-greenview-marsiling-greenview,3,None,113,5 Room,Improved,2018,868000,5
Blk 519A Centrale 8 At Tampines,https://www.srx.com.sg/listings/99161451/for-sale-centrale-8-at-tampines-blk-519a-tampines-central-4room-dbss-for-sales,3,2,83,4 Room,Premium Apartment,2014,868000,9
