MDollarHse_Coordinates,Fairprice_Count,Hos_Count,Malls_Count,MRT_Count,Parks_Count,PriSch_Count,SecSch_Count,Tertiary_Count,Uni_Count
"1.3525743, 103.8681187",1.0,4.0,,1.0,,1.0,1.0,1.0,
"1.33461305, 103.8485762",1.0,12.0,1.0,1.0,1.0,1.0,,,
"1.3539339, 103.8680585",1.0,5.0,,,,,,1.0,
"1.28798455, 103.816749",1.0,3.0,,1.0,,1.0,1.0,,
"1.35731545, 103.8458132",1.0,2.0,,,1.0,1.0,2.0,,
"1.2933132, 103.8082566",1.0,1.0,,1.0,,1.0,,,
"1.3074551, 103.8827085",1.0,2.0,,1.0,,,1.0,,
"1.274708, 103.840528",1.0,9.0,1.0,,,1.0,,,
"1.35986965, 103.8445309",1.0,2.0,,,2.0,,,,
"1.3588413, 103.8438535",1.0,2.0,,,,1.0,2.0,,
"1.36495585, 103.843818",1.0,2.0,,,1.0,,3.0,,
"1.30995105, 103.7925233",1.0,6.0,1.0,2.0,,,,,
"1.30785825, 103.8888729",1.0,1.0,,1.0,,,2.0,,
"1.3356302, 103.8658411",1.0,,,,,1.0,,,
"1.30582635, 103.8552663",1.0,9.0,2.0,2.0,,,,,
"1.28348045, 103.8270924",1.0,9.0,1.0,1.0,1.0,1.0,,,
"1.3347841, 103.8658706",1.0,2.0,1.0,,,1.0,1.0,1.0,
"1.359469, 103.8434496",1.0,2.0,,,1.0,,1.0,,
"1.3470286, 103.8499883",1.0,5.0,1.0,1.0,,1.0,1.0,,
"1.35619605, 103.9395945",1.0,3.0,1.0,,,1.0,,,
"1.336712, 103.845592",,24.0,,,,2.0,,,
"1.2864563, 103.8312372",,16.0,2.0,4.0,,,,,
"1.335767, 103.847688",,16.0,1.0,,,1.0,,,
"1.33577, 103.846773",,15.0,1.0,,,1.0,,,
"1.335217, 103.846142",,14.0,1.0,,,2.0,1.0,,
"1.334661, 103.845363",,14.0,1.0,,,2.0,1.0,,
"1.334172, 103.845894",,13.0,1.0,,1.0,2.0,1.0,,
"1.333722, 103.845233",,13.0,1.0,,1.0,2.0,1.0,,
"1.333674, 103.845687",,12.0,1.0,,1.0,2.0,1.0,,
"1.336272, 103.845503",,12.0,,,,2.0,1.0,,
"1.338514, 103.847747",,10.0,,1.0,,1.0,,,
"1.336258, 103.844796",,10.0,,,,2.0,1.0,,
"1.338738, 103.847264",,10.0,,1.0,,1.0,,,
"1.333255, 103.846161",,9.0,1.0,,1.0,2.0,1.0,,
"1.33879, 103.846872",,9.0,,1.0,,1.0,,,
"1.339134, 103.846198",,8.0,,,,1.0,,,
"1.339155, 103.84758",,8.0,,1.0,,1.0,,,
"1.336275, 103.843925",,8.0,,,,2.0,1.0,,
"1.316691, 103.861381",,8.0,,2.0,,,,,
"1.31641, 103.861165",,8.0,,2.0,,,,,
"1.336714, 103.843992",,8.0,,,,2.0,1.0,,
"1.33987, 103.84635",,8.0,,,,1.0,1.0,,
"1.316577, 103.861017",,8.0,,2.0,,,,,
"1.339753, 103.847263",,8.0,,1.0,,1.0,,,
"1.28483305, 103.8264949",,7.0,1.0,1.0,1.0,1.0,,,
"1.34456145, 103.8512803",,7.0,,,,1.0,2.0,,
"1.338392, 103.843295",,7.0,,1.0,,2.0,,,
"1.337456, 103.842595",,6.0,,1.0,,2.0,,,
"1.3681798, 103.857549",,6.0,,,,1.0,,,
"1.2837865, 103.830298",,6.0,1.0,1.0,,1.0,,,
"1.2838767, 103.8306218",,6.0,1.0,1.0,,,,,
"1.31605155, 103.8613309",,6.0,,2.0,,,,,
"1.36496055, 103.8540446",,6.0,,1.0,,1.0,1.0,,
"1.3594518, 103.8887515",,5.0,1.0,1.0,,1.0,1.0,,
"1.285221, 103.822593",,5.0,,,1.0,1.0,1.0,,
"1.3198089, 103.8609535",,5.0,,,,1.0,,,
"1.40355645, 103.897684",,5.0,,,,2.0,,,
"1.4037191, 103.8975203",,5.0,,,,2.0,,,
"1.338386, 103.842848",,5.0,,1.0,,1.0,,,
"1.36586385, 103.8586383",,5.0,,,,,,,
"1.321301, 103.8605691",,4.0,,,,1.0,1.0,,
"1.3715979, 103.8391821",,4.0,,,,1.0,1.0,,
"1.3164065, 103.8616261",,4.0,,1.0,,,,,
"1.31977, 103.8596402",,4.0,,,,1.0,1.0,,
"1.31677585, 103.8618992",,4.0,,1.0,,,,,
"1.3568202, 103.8840619",,4.0,1.0,1.0,,,,,
"1.34776405, 103.8542586",,4.0,,,,1.0,1.0,,
"1.3208015, 103.8602102",,4.0,,,,1.0,1.0,,
"1.36833335, 103.8585345",,4.0,,,,1.0,,,
"1.34734, 103.8541587",,4.0,,,,1.0,1.0,,
"1.3727536, 103.8523889",,4.0,,1.0,1.0,2.0,1.0,,
"1.34762545, 103.8559811",,3.0,,,,1.0,1.0,,
"1.33661545, 103.9212622",,3.0,,1.0,,1.0,,,
"1.30404515, 103.913509",,3.0,,,1.0,1.0,,,
"1.3366405, 103.9216111",,3.0,,1.0,1.0,1.0,,,
"1.3304629, 103.905216",,3.0,,,,1.0,,,
"1.301552773, 103.9084471",,3.0,1.0,,1.0,,,,
"1.30202275, 103.9085952",,3.0,1.0,,1.0,,,,
"1.37770445, 103.9433931",,3.0,,,,2.0,,,
"1.304090143, 103.9156055",,3.0,,,,1.0,1.0,,
"1.3364314, 103.9210442",,3.0,,1.0,,1.0,1.0,,
"1.303856937, 103.916527",,3.0,,,,1.0,1.0,1.0,
"1.34081, 103.850815",,3.0,,1.0,,,2.0,,
"1.30345725, 103.9133522",,3.0,,,1.0,1.0,,,
"1.304870985, 103.9186073",,3.0,,,,1.0,2.0,1.0,
"1.3390216, 103.7754414",,3.0,2.0,1.0,,2.0,,,
"1.3654298, 103.9570013",,2.0,,,,1.0,2.0,,
"1.4281484, 103.7728197",,2.0,,,,,1.0,,
"1.376726, 103.8411212",,2.0,,,,,1.0,,
"1.3159003, 103.8607782",,2.0,,1.0,,,,,
"1.32243025, 103.936223",,2.0,1.0,,,1.0,,1.0,
"1.3775341, 103.8393278",,2.0,,,,1.0,,,
"1.3067757, 103.7972687",,2.0,1.0,1.0,,,,,
"1.3780795, 103.7646934",,2.0,2.0,1.0,,,1.0,,
"1.3584372, 103.8483076",,2.0,,,1.0,,,,
"1.31948065, 103.7655268",,2.0,,,,2.0,,,
"1.34814725, 103.8755858",,2.0,1.0,1.0,1.0,,1.0,,
"1.3496877, 103.875243",,2.0,1.0,1.0,1.0,,1.0,,
"1.37804835, 103.8393935",,2.0,,,,1.0,,,
"1.3155904, 103.8602099",,2.0,,1.0,,,,,
"1.3341018, 103.9149474",,2.0,,1.0,,,1.0,,
"1.3190035, 103.7656918",,2.0,1.0,1.0,,3.0,,,
"1.3377003, 103.7753627",,2.0,1.0,1.0,,1.0,,,
"1.33260935, 103.8573147",,2.0,,,,,,,
"1.3396678, 103.772688",,2.0,2.0,1.0,,2.0,,,
"1.31507315, 103.8606315",,2.0,,1.0,,,,,
"1.28741125, 103.8220512",,2.0,,,2.0,2.0,2.0,,
"1.340434, 103.852178",,2.0,,1.0,,1.0,1.0,,
"1.33936885, 103.7725436",,2.0,1.0,1.0,,2.0,,,
"1.32321315, 103.7710863",,1.0,,,,,,,
"1.3174562, 103.7624183",,1.0,2.0,1.0,,2.0,1.0,,
"1.301237325, 103.7971764",,1.0,,1.0,,1.0,,,
"1.28797955, 103.8219434",,1.0,,,1.0,1.0,1.0,,
"1.33782765, 103.7733116",,1.0,,1.0,,2.0,,,
"1.30966795, 103.7713313",,1.0,,,,,3.0,,
"1.32392005, 103.770548",,1.0,,,,,,,
"1.360309, 103.8321247",,1.0,,,,1.0,,,
"1.3446019, 103.7606773",,1.0,,,,1.0,1.0,,
"1.30123507, 103.7971753",,1.0,,1.0,,1.0,,,
"1.33785645, 103.7441196",,1.0,2.0,,,,,,
"1.35919065, 103.8320519",,1.0,,,,1.0,,,
"1.275306, 103.826904",,1.0,,,,2.0,,,
"1.337998, 103.7449941",,1.0,2.0,,,,,,
"1.4420518, 103.7901387",,1.0,1.0,,,1.0,2.0,,
"1.3199674, 103.7657478",,1.0,,,,2.0,,,
"1.301244089, 103.7971731",,1.0,,1.0,,1.0,,,
"1.3237269, 103.771246",,1.0,,,,,,,
"1.32329165, 103.8662501",,1.0,,,,1.0,,,
"1.3494366, 103.8388065",,1.0,,1.0,,,,,
"1.32823495, 103.8579813",,1.0,,,,,,,
"1.359374, 103.8332315",,1.0,,1.0,,1.0,,,
"1.4443687, 103.7933269",,1.0,1.0,,,1.0,1.0,,
"1.3593394, 103.8307045",,1.0,,,,1.0,,,
"1.36895025, 103.8338372",,1.0,,,,,1.0,,
"1.4236131, 103.8401624",,1.0,,,1.0,1.0,,,
"1.34351825, 103.759251",,1.0,,,,1.0,1.0,,
"1.30118995, 103.798929",,1.0,,1.0,,1.0,1.0,,
"1.44065865, 103.7874009",,1.0,1.0,1.0,,1.0,1.0,1.0,
"1.3379367, 103.7740109",,1.0,,1.0,,2.0,,,
"1.32178925, 103.9364139",,1.0,,,,1.0,,1.0,
"1.2866077, 103.8213624",,1.0,,,1.0,,1.0,,
"1.32332005, 103.7697692",,1.0,,,,,,,
"1.31895745, 103.7646364",,1.0,1.0,1.0,,3.0,1.0,,
"1.3229285, 103.8660206",,1.0,,,,1.0,,,
"1.33834445, 103.7444535",,1.0,2.0,,,,,,
"1.302193692, 103.7965873",,1.0,,1.0,,1.0,,,
"1.362515, 103.8331633",,1.0,,,,1.0,,,
"1.36288995, 103.8898318",,1.0,,,,,,,
"1.30123958, 103.7971764",,1.0,,1.0,,1.0,,,
"1.36925685, 103.8340847",,1.0,,,,1.0,2.0,,
"1.2881168, 103.8214942",,1.0,,,1.0,1.0,1.0,,
"1.3634306, 103.9617562",,1.0,,,,1.0,,,
"1.32294575, 103.7692174",,1.0,,,,,,,
"1.37873095, 103.8369493",,1.0,,1.0,,1.0,,,
"1.35862345, 103.8319548",,1.0,,1.0,,1.0,,,
"1.301241835, 103.7971821",,1.0,,1.0,,1.0,,,
"1.301237325, 103.7971843",,1.0,,1.0,,1.0,,,
"1.3538152, 103.8478793",,,1.0,1.0,,1.0,1.0,,
"1.44210615, 103.7873354",,,1.0,,,1.0,1.0,1.0,
"1.44046985, 103.7910479",,,1.0,,,2.0,2.0,,
"1.3378836, 103.7466203",,,1.0,,,,,,
"1.4423866, 103.7871078",,,1.0,,,1.0,1.0,1.0,
"1.44008975, 103.7910815",,,1.0,,,2.0,2.0,,
"1.33412555, 103.9081231",,,,1.0,,,,,
"1.3620254, 103.8390037",,,,1.0,,,,,
"1.35722645, 103.8496612",,,,,1.0,,,,
"1.31953945, 103.7641388",,,,,,2.0,1.0,,
"1.31965005, 103.7645293",,,,,,2.0,,,
"1.3593596, 103.8294519",,,,,,1.0,,,
"1.335348, 103.7709658",,,,,,1.0,,1.0,
"1.33523585, 103.7709429",,,,,,1.0,,1.0,
"1.3593594, 103.8295354",,,,,,1.0,,,
"1.3594297, 103.8292882",,,,,,1.0,,,
