Year,Price,Type,Area
2023,1100 ,Room for Rent , Bedok
2023,1100 ,Room for Rent , Woodlands
2023,1000 ,Room for Rent , Jurong East
2023,900 ,Room for Rent , Buona Vista
2023,900 ,Room for Rent , Queenstown
2023,850 ,Room for Rent , Bukit Batok
2023,900 ,Room for Rent , Rochor
2023,800 ,Room for Rent , Bukit Panjang
2023,1500 ,Room for Rent , Changi
2023,1450 ,Room for Rent , Pasir Ris
2023,2600 ,Room for Rent , River Valley
2023,3300 ,Room for Rent , Orchard
2023,1000 ,Room for Rent , Serangoon
2023,1500 ,Room for Rent , Choa Chu Kang
2023,1750 ,Room for Rent , Paya Lebar
2023,1350 ,Room for Rent , Queenstown
2023,1200 ,Room for Rent , Serangoon
2023,1600 ,Room for Rent , Bukit Panjang
2023,900 ,Room for Rent , Bukit Panjang
2023,950 ,Room for Rent , Clementi
2023,1200 ,Room for Rent , Woodlands
2023,1200 ,Room for Rent , Yishun
2023,700 ,Room for Rent , Hougang
2023,1200 ,Room for Rent , Tiong Bahru
2023,1200 ,Room for Rent , CBD
2023,1200 ,Room for Rent , Tanjong Pagar
2023,2500 ,Whole Unit , Tuas
2023,2500 ,Whole Unit , Jurong West
2023,2600 ,Whole Unit , Boon Lay
2023,800 ,Room for Rent , Jurong West
2023,800 ,Room for Rent , Tuas
2023,800 ,Room for Rent , Boon Lay
2023,600 ,Room for Rent , Jurong East
2023,1000 ,Room for Rent , Ang Mo Kio
2023,2600 ,Whole Unit , Tuas
2023,2600 ,Whole Unit , Jurong West
2023,900 ,Room for Rent , Jurong West
2023,1600 ,Room for Rent , Paya Lebar
2023,2200 ,Room for Rent , Simei
2023,1400 ,Room for Rent , Marine Parade
2023,2600 ,Whole Unit , Boon Lay
2023,950 ,Room for Rent , Ang Mo Kio
2023,6500 ,Whole Unit , CBD
2023,6000 ,Whole Unit , Changi
2023,9999 ,Whole Unit , CBD
2023,9999 ,Whole Unit , Bukit Timah
2023,9999 ,Whole Unit , CBD
2023,9999 ,Whole Unit , CBD
2023,9999 ,Whole Unit , CBD
2023,9999 ,Whole Unit , CBD
2023,900 ,Room for Rent , Jurong East
2023,3500 ,Whole Unit , Bedok
2023,3300 ,Room for Rent , CBD
2023,1000 ,Room for Rent , Bedok
2023,900 ,Room for Rent , Tampines
2023,1000 ,Room for Rent , Bedok
2023,1000 ,Room for Rent , Jurong East
2023,3500 ,Whole Unit , Macpherson
2023,800 ,Room for Rent , Jurong East
2023,600 ,Room for Rent , Jurong East
2023,1000 ,Room for Rent , Ang Mo Kio
2023,3100 ,Whole Unit , Jurong East
2023,750 ,Room for Rent , Ang Mo Kio
2023,800 ,Room for Rent , Tuas
2023,800 ,Room for Rent , Jurong West
2023,800 ,Room for Rent , Boon Lay
2023,1000 ,Room for Rent , Tampines
2023,800 ,Room for Rent , Bukit Batok
2023,850 ,Room for Rent , Bukit Panjang
2023,900 ,Room for Rent , Rochor
2023,1500 ,Room for Rent , Pasir Ris
2023,1450 ,Room for Rent , Pasir Ris
2023,4250 ,Whole Unit , Farrer Park
2023,900 ,Room for Rent , Novena
2023,2500 ,Whole Unit , Bedok
2023,1000 ,Room for Rent , Woodlands
2023,1100 ,Room for Rent , Bedok
2023,1000 ,Room for Rent , Queenstown
2023,5000 ,Whole Unit , Hougang
2023,1000 ,Room for Rent , Jurong West
2023,1150 ,Room for Rent , Marine Parade
2023,950 ,Room for Rent , Sengkang
2023,1000 ,Room for Rent , Yishun
2023,1200 ,Room for Rent , Geylang
2023,500 ,Room for Rent , Serangoon
2023,900 ,Room for Rent , Marine Parade
2023,900 ,Room for Rent , Marine Parade
2023,1200 ,Room for Rent , Woodlands
2023,1190 ,Room for Rent , Ang Mo Kio
2023,900 ,Room for Rent , Tampines
2023,1000 ,Room for Rent , Bukit Batok
2023,3400 ,Whole Unit , Geylang
2023,1000 ,Room for Rent , Choa Chu Kang
2023,1400 ,Room for Rent , Tiong Bahru
2023,700 ,Room for Rent , Ang Mo Kio
2023,700 ,Room for Rent , Hougang
2023,1200 ,Room for Rent , CBD
2023,1200 ,Room for Rent , Tanjong Pagar
2023,1000 ,Room for Rent , Choa Chu Kang
2023,1300 ,Room for Rent , Jurong East
2023,1300 ,Room for Rent , Bukit Batok
2023,800 ,Room for Rent , Jurong East
2023,4200 ,Whole Unit , Changi
2023,850 ,Room for Rent , Yishun
2023,800 ,Room for Rent , Woodlands
2023,1250 ,Room for Rent , Clementi
2023,1490 ,Room for Rent , Paya Lebar
2023,1200 ,Room for Rent , Jurong West
2023,2200 ,Room for Rent , Paya Lebar
2023,650 ,Room for Rent , Tampines
2023,650 ,Room for Rent , Pasir Ris
2023,1200 ,Room for Rent , Chinatown
2023,1000 ,Room for Rent , Jurong East
2023,600 ,Room for Rent , Woodlands
2023,1000 ,Room for Rent , Sengkang
2023,1400 ,Room for Rent , Sengkang
2023,3500 ,Whole Unit , Ang Mo Kio
2023,550 ,Room for Rent , Farrer Park
2023,5000 ,Whole Unit , Holland Village
2023,800 ,Room for Rent , Queenstown
2023,1800 ,Room for Rent , Geylang
2023,900 ,Room for Rent , Woodlands
2023,1500 ,Room for Rent , Jurong East
2023,680 ,Room for Rent , Jurong West
2023,850 ,Room for Rent , Yishun
2023,2884 ,Whole Unit , Geylang
2023,700 ,Room for Rent , Jurong West
2023,850 ,Room for Rent , Choa Chu Kang
2023,1100 ,Room for Rent , Bedok
2023,4050 ,Whole Unit , Sengkang
2023,800 ,Room for Rent , Woodlands
2023,1200 ,Room for Rent , Jurong West
2023,1900 ,Room for Rent , Tiong Bahru
2023,800 ,Room for Rent , Choa Chu Kang
2023,850 ,Room for Rent , Yishun
2023,900 ,Room for Rent , Rochor
2023,850 ,Room for Rent , Bukit Panjang
2023,1500 ,Room for Rent , Pasir Ris
2023,1450 ,Room for Rent , Pasir Ris
2023,1950 ,Room for Rent , Tanjong Pagar
2023,1900 ,Room for Rent , CBD
2023,2600 ,Room for Rent , CBD
2023,2500 ,Room for Rent , CBD
2023,2000 ,Room for Rent , Tiong Bahru
2023,2500 ,Room for Rent , CBD
2023,1880 ,Room for Rent , Tiong Bahru
2023,4250 ,Room for Rent , CBD
2023,1300 ,Room for Rent , Tiong Bahru
2023,4300 ,Room for Rent , CBD
2023,1780 ,Room for Rent , Tiong Bahru
2023,2450 ,Room for Rent , Tiong Bahru
2023,1000 ,Room for Rent , Clementi
2023,850 ,Room for Rent , Bukit Panjang
2023,900 ,Room for Rent , Rochor
2023,1950 ,Room for Rent , CBD
2023,1500 ,Room for Rent , Pasir Ris
2023,1450 ,Room for Rent , Pasir Ris
2023,1900 ,Room for Rent , CBD
2023,2600 ,Room for Rent , CBD
2023,3300 ,Room for Rent , CBD
2023,1200 ,Room for Rent , Pasir Ris
2023,1300 ,Room for Rent , Sengkang
2023,1000 ,Room for Rent , Ang Mo Kio
2023,2600 ,Whole Unit , Choa Chu Kang
2023,700 ,Room for Rent , Hougang
2023,700 ,Room for Rent , Hougang
