Year,Town,Flat_Type,Price
2018,CENTRAL AREA,4 ROOM,760400.9275362319
2018,CENTRAL AREA,5 ROOM,939355.4666666667
2018,CHOA CHU KANG,2 ROOM,224800.0
2018,CHOA CHU KANG,3 ROOM,276771.3965517241
2018,CHOA CHU KANG,4 ROOM,339828.55803571426
2018,CHOA CHU KANG,5 ROOM,407733.4935483871
2018,CHOA CHU KANG,EXECUTIVE,527470.0357142857
2018,CLEMENTI,2 ROOM,310666.6666666667
2018,CLEMENTI,3 ROOM,330804.85774058575
2018,CLEMENTI,4 ROOM,579110.6369426751
2018,CLEMENTI,5 ROOM,694949.6166666667
2018,CLEMENTI,EXECUTIVE,850708.9523809524
2018,GEYLANG,2 ROOM,204000.0
2018,GEYLANG,3 ROOM,293021.21164021164
2018,GEYLANG,4 ROOM,521626.53846153844
2018,GEYLANG,5 ROOM,702688.8484848485
2018,GEYLANG,EXECUTIVE,743545.4545454546
2018,HOUGANG,2 ROOM,242857.14285714287
2018,HOUGANG,3 ROOM,282291.9581151832
2018,HOUGANG,4 ROOM,385441.8198198198
2018,HOUGANG,5 ROOM,501423.9830508475
2018,HOUGANG,EXECUTIVE,685215.949044586
2018,JURONG EAST,2 ROOM,235700.0
2018,JURONG EAST,3 ROOM,286073.012345679
2018,JURONG EAST,4 ROOM,413002.44444444444
2018,JURONG EAST,5 ROOM,534712.7328244274
2018,JURONG EAST,EXECUTIVE,674525.0196078431
2018,JURONG WEST,2 ROOM,215786.66666666666
2018,JURONG WEST,3 ROOM,253273.31270358307
2018,JURONG WEST,4 ROOM,361524.6918032787
2018,JURONG WEST,5 ROOM,435646.8368522073
2018,JURONG WEST,EXECUTIVE,546390.7218934911
2018,KALLANG/WHAMPOA,2 ROOM,231533.33333333334
2018,KALLANG/WHAMPOA,3 ROOM,331826.31506849313
2018,KALLANG/WHAMPOA,4 ROOM,557085.9009900991
2018,KALLANG/WHAMPOA,5 ROOM,747925.0181818182
2018,KALLANG/WHAMPOA,EXECUTIVE,770076.9230769231
2018,MARINE PARADE,2 ROOM,180000.0
2018,MARINE PARADE,3 ROOM,395525.9692307692
2018,MARINE PARADE,4 ROOM,523397.05263157893
2018,MARINE PARADE,5 ROOM,824624.0
2018,PASIR RIS,3 ROOM,285714.28571428574
2018,PASIR RIS,4 ROOM,406051.11504424777
2018,PASIR RIS,5 ROOM,482114.77720207255
2018,PASIR RIS,EXECUTIVE,626151.5728643216
2018,PUNGGOL,2 ROOM,260821.33333333334
2018,PUNGGOL,3 ROOM,349124.416
2018,PUNGGOL,4 ROOM,450100.4895104895
2018,PUNGGOL,5 ROOM,475557.4926624738
2018,PUNGGOL,EXECUTIVE,544877.76
2018,QUEENSTOWN,2 ROOM,251375.0
2018,QUEENSTOWN,3 ROOM,376524.75
2018,QUEENSTOWN,4 ROOM,688848.0228310502
2018,QUEENSTOWN,5 ROOM,845029.8636363636
2018,QUEENSTOWN,EXECUTIVE,997400.0
2018,SEMBAWANG,2 ROOM,221250.0
2018,SEMBAWANG,3 ROOM,288200.0
2018,SEMBAWANG,4 ROOM,336567.4503816794
2018,SEMBAWANG,5 ROOM,393519.6905829596
2018,SEMBAWANG,EXECUTIVE,479490.4347826087
2018,SENGKANG,2 ROOM,243697.2
2018,SENGKANG,3 ROOM,331506.990990991
2018,SENGKANG,4 ROOM,410096.9394358974
2018,SENGKANG,5 ROOM,445493.52743362833
2018,SENGKANG,EXECUTIVE,556657.4344827586
2018,SERANGOON,2 ROOM,213467.0
2018,SERANGOON,3 ROOM,309609.8181818182
2018,SERANGOON,4 ROOM,457018.7724867725
2018,SERANGOON,5 ROOM,543373.1489361703
2018,SERANGOON,EXECUTIVE,736243.1058823529
2018,TAMPINES,2 ROOM,268000.0
2018,TAMPINES,3 ROOM,331236.3283018868
2018,TAMPINES,4 ROOM,433655.51844262297
2018,TAMPINES,5 ROOM,548549.9802955665
2018,TAMPINES,EXECUTIVE,685668.5263157894
2018,TAMPINES,MULTI-GENERATION,849333.3333333334
2018,TOA PAYOH,2 ROOM,203400.0
2018,TOA PAYOH,3 ROOM,287933.8695652174
2018,TOA PAYOH,4 ROOM,586494.4628820961
2018,TOA PAYOH,5 ROOM,808236.0
2018,TOA PAYOH,EXECUTIVE,808133.3333333334
2018,WOODLANDS,2 ROOM,190000.0
2018,WOODLANDS,3 ROOM,266429.13106796116
2018,WOODLANDS,4 ROOM,333868.4066749073
2018,WOODLANDS,5 ROOM,405321.38428874733
2018,WOODLANDS,EXECUTIVE,587604.3218390804
2018,YISHUN,2 ROOM,220125.0
2018,YISHUN,3 ROOM,267906.1848101266
2018,YISHUN,4 ROOM,345276.5732484076
2018,YISHUN,5 ROOM,454688.84444444446
2018,YISHUN,EXECUTIVE,581154.6666666666
2018,YISHUN,MULTI-GENERATION,769432.0
2019,ANG MO KIO,2 ROOM,195687.5
2019,ANG MO KIO,3 ROOM,282264.6347992352
2019,ANG MO KIO,4 ROOM,445837.9335793358
2019,ANG MO KIO,5 ROOM,658727.3405797102
2019,ANG MO KIO,EXECUTIVE,795796.0
2019,BEDOK,2 ROOM,209752.9411764706
2019,BEDOK,3 ROOM,283983.62890625
2019,BEDOK,4 ROOM,426143.42076502735
2019,BEDOK,5 ROOM,565226.1990291262
2019,BEDOK,EXECUTIVE,706927.4782608695
2019,BISHAN,3 ROOM,369114.0
2019,BISHAN,4 ROOM,549636.6534653465
2019,BISHAN,5 ROOM,748564.3720930233
2019,BISHAN,EXECUTIVE,883344.4
2019,BISHAN,MULTI-GENERATION,915972.0
2019,BUKIT BATOK,3 ROOM,253129.04912280702
2019,BUKIT BATOK,4 ROOM,366961.41689373297
2019,BUKIT BATOK,5 ROOM,512762.045112782
2019,BUKIT BATOK,EXECUTIVE,612463.3707865168
2019,BUKIT MERAH,1 ROOM,175842.54545454544
2019,BUKIT MERAH,2 ROOM,243714.2857142857
2019,BUKIT MERAH,3 ROOM,361784.6204620462
2019,BUKIT MERAH,4 ROOM,646471.7808641975
2019,BUKIT MERAH,5 ROOM,768834.1308411215
2019,BUKIT PANJANG,2 ROOM,233735.57894736843
2019,BUKIT PANJANG,3 ROOM,296291.5789473684
2019,BUKIT PANJANG,4 ROOM,390752.2409638554
2019,BUKIT PANJANG,5 ROOM,481170.6723549488
2019,BUKIT PANJANG,EXECUTIVE,601744.1666666666
2019,BUKIT TIMAH,3 ROOM,418250.0
2019,BUKIT TIMAH,4 ROOM,629880.8571428572
2019,BUKIT TIMAH,5 ROOM,811327.1111111111
2019,BUKIT TIMAH,EXECUTIVE,964800.0
2019,CENTRAL AREA,2 ROOM,232500.0
2019,CENTRAL AREA,3 ROOM,411251.84
2019,CENTRAL AREA,4 ROOM,735664.2048192772
2019,CENTRAL AREA,5 ROOM,944856.0
2019,CHOA CHU KANG,2 ROOM,230222.22222222222
2019,CHOA CHU KANG,3 ROOM,283240.8163265306
2019,CHOA CHU KANG,4 ROOM,342972.1569086651
2019,CHOA CHU KANG,5 ROOM,409074.14420062694
2019,CHOA CHU KANG,EXECUTIVE,529374.5882352941
2019,CLEMENTI,2 ROOM,272833.3333333333
