School_Name,Location_Type,Blk_No,Address,Postal_Code,Full_Address,Long,Lat
Woodlands Primary School,School,10,Woodlands Drive 50,738853,"10 Woodlands Drive 50, Singapore 738853",103.7916902,1.43669555
Woodlands Ring Primary School,School,11,Woodlands Ring Road,738240,"11 Woodlands Ring Road, Singapore 738240",103.7978405,1.43466535
Xinghua Primary School,School,45,Hougang Avenue 1,538882,"45 Hougang Avenue 1, Singapore 538882",103.890515,1.3580028
Xingnan Primary School,School,5,Jurong West Street 91,649036,"5 Jurong West Street 91, Singapore 649036",103.6877492,1.3431928
Xinmin Primary School,School,9,Hougang Avenue 8,538784,"9 Hougang Avenue 8, Singapore 538784",103.8831786,1.3714019
Xishan Primary School,School,8,Yishun Street 21,768611,"8 Yishun Street 21, Singapore 768611",103.8377866,1.43343
Yangzheng Primary School,School,15,Serangoon Avenue 3,556108,"15 Serangoon Avenue 3, Singapore 556108",103.868425,1.34876345
Yew Tee Primary School,School,10,Choa Chu Kang Street 64,689100,"10 Choa Chu Kang Street 64, Singapore 689100",103.751093,1.39696185
Yio Chu Kang Primary School,School,1,Hougang Street 51,538720,"1 Hougang Street 51, Singapore 538720",103.8854613,1.37791475
Yishun Primary School,School,500,Yishun Ring Road,768679,"500 Yishun Ring Road, Singapore 768679",103.8338869,1.4335987
Yu Neng Primary School,School,56,Bedok North Street 3,469623,"56 Bedok North Street 3, Singapore 469623",103.9328305,1.33419115
Yuhua Primary School,School,158,Jurong East Street 24,609558,"158 Jurong East Street 24, Singapore 609558",103.74096,1.3428913
Yumin Primary School,School,3,Tampines Street 21,529393,"3 Tampines Street 21, Singapore 529393",103.9508735,1.3512643
Zhangde Primary School,School,51,Jalan Membina,169485,"51 Jalan Membina, Singapore 169485",103.8260819,1.2842497
Zhenghua Primary School,School,9,Fajar Road,679002,"9 Fajar Road, Singapore 679002",103.7696661,1.3794259
Zhonghua Primary School,School,12,Serangoon Ave 4,556095,"12 Serangoon Ave 4, Singapore 556095",103.8696577,1.35986
