,Coordinates,FairpricePoints,HosPoints,MallPoints,MRTPoints,ParksPoints,PriSchPoints,SecSchPoints,TertairyPoints,UniPoints,Area,Location_Type,Link,floor_area_sqm,remaining_lease,Sale_Price
166,"1.3557844000000001, 103.9626695157531",0.0,0.014605460624622119,0.0,0.0036155510013648057,0.0,0.011996060248993029,0.028138065062891352,0.0,0.0,Lengkong Tiga,HDB 4 Room,https://www.99.co/singapore/sale/property/113-lengkong-tiga-hdb-7KirkfA2P5wpwCJqhH3XMb,65,108,728000
167,"1.35703205, 103.7377502192457",0.0,0.10062954096709564,0.0,0.0,0.0,0.004337545259890227,0.0,0.005220678678403548,0.0,Woodlands Crescent,HDB 4 Room,https://www.srx.com.sg/listings/100418261/for-sale-woodlands-crescent-woodlands-crescent,73,91,830000
168,"1.35703435, 103.73840041765231",0.0,0.11923629499848849,0.0,0.0,0.0,0.004459361840447554,0.00803444897505578,0.005454362435562469,0.0,Yishun,HDB 5 Room,https://www.99.co/singapore/sale/property/512c-yishun-street-51-hdb-4dh2HxDS4MaF8Yeob6qCAS,93,112,750000
169,"1.3602797999999998, 103.89274851394939",0.0,0.04751216490386894,0.002376066699386362,0.0032555536144416976,0.0,0.016492225416661857,0.009510469644440356,0.0,0.0,Hougang,HDB 4 Room,https://www.srx.com.sg/listings/100492111/for-sale-hougang-street-91-hougang-street-91,74,101,500000
170,"1.3604806, 103.8884955",0.0,0.09830965469099738,0.005254802539303977,0.0066261941708686805,0.0,0.015475329339561611,0.008892026633154106,0.0,0.0,Toh Yi,HDB 4 Room,https://www.99.co/singapore/sale/property/11-toh-yi-drive-hdb-7wAoUUASawvd39kXE9V4Hz,65,107,938000
171,"1.3653214999999999, 103.96365230237183",0.0,0.07226395998341381,0.008584482130392635,0.0,0.0,0.020221343456684613,0.018345795451809185,0.0,0.0,Jalan Memb,HDB 5 Room,https://www.99.co/singapore/sale/property/25a-jalan-membina-hdb-hUMBPEwNd2q9r6iANQSE8x,84,109,1199000
172,"1.3653542500000002, 103.85414666381953",0.0,0.20065077853406235,0.002533112254242937,0.016407437181067196,0.002531075278486516,0.02065187867810011,0.01460660611270951,0.0,0.0,Jelapang,HDB Executive,https://www.99.co/singapore/sale/property/503-jelapang-road-hdb-FA3oJyZZL5imn9gHywcWjS,74,144,909000
173,"1.3698717500000002, 103.96166969180207",0.0,0.051981965629996976,0.0043195757247490455,0.0,0.0,0.028454294853289628,0.021690354378733782,0.0,0.0,Edgedale,HDB 2 Bed,https://www.99.co/singapore/sale/property/682c-edgedale-plains-hdb-PHGsJsPEcpiaDuDX2cRhpe,94,67,475000
174,"1.3710459, 103.96280108780056",0.0,0.041492369175480825,0.004072403241267247,0.0,0.0,0.044221215366223914,0.019796944275533544,0.0,0.0,Hougang Central,HDB 4 Room,https://www.srx.com.sg/listings/99074051/for-sale-hougang-central-4-room-for-sale,68,110,528000
175,"1.37227435, 103.85683279630615",0.0,0.19672202239205025,0.002007783284064919,0.00668666522305051,0.0013304514505441372,0.033754806608789906,0.01094468339052827,0.0,0.0,Yishun,HDB 4 Room,https://www.99.co/singapore/sale/property/512b-yishun-street-51-hdb-Y9Ws2JxEJJhV4fSJoQxGjQ,93,92,545000
176,"1.3726778, 103.74355264815564",0.0,0.038981833620325625,0.0025448147545171166,0.0,0.0,0.006553967489586697,0.0,0.0,0.0,Boon Lay,HDB 4 Bed,https://www.99.co/singapore/sale/property/218d-boon-lay-avenue-hdb-D4v4idDZqCr3df73eEvJSg,94,120,718888
177,"1.3734373999999998, 103.7739656",0.0,0.02802079913513183,0.0,0.0,0.003231737495590942,0.012812099033981646,0.0,0.0,0.0,Bedok North,HDB 5 Room,https://www.srx.com.sg/listings/100651561/for-sale-bedok-north-avenue-4-98-bedok-north-avenue-4,54,123,649999
178,"1.3741240499999998, 103.7755628186593",0.0,0.02751711811823903,0.0,0.0,0.004447773500593294,0.01036509131402915,0.0041896388376619405,0.0,0.0,Teck Whye Lane,HDB 5 Room,https://www.99.co/singapore/sale/property/14-teck-whye-lane-hdb-fHYRPy8Seqe4FUFqngjDH7,55,118,499999
179,"1.3778252000000002, 103.73499192323874",0.0,0.02459417732968995,0.00491883546593799,0.0,0.0,0.01826185393532278,0.0066411617918555495,0.0,0.0,Bukit Batok,HDB 4 Room,https://www.srx.com.sg/listings/99101921/for-sale-bukit-batok-street-52-bukit-batok-street-52,62,84,578000
180,"1.3799865, 103.73513104536396",0.0,0.021630838606247687,0.004326167721249537,0.0,0.0,0.03443460821319695,0.009404596657509387,0.0,0.0,Ang Mo Kio,HDB 4 Room,https://www.99.co/singapore/sale/property/310a-ang-mo-kio-avenue-1-hdb-FpHtEbCbDvhPCEkRXdtFiS,88,93,748865
181,"1.3809074, 103.8344013",0.0,0.012601740292340128,0.0,0.01245649609285259,0.0,0.016986270104448805,0.004818635795088045,0.0,0.0,Lorong 2 Toa Payoh,HDB 4 Room,https://www.99.co/singapore/sale/property/122-lorong-2-toa-payoh-hdb-TaadnSHzvZ5goqpijJD6og,75,100,838000
182,"1.3834958, 103.88199386705348",0.0,0.09401002921536779,0.0236801896639824,0.0,0.0,0.016490726488128632,0.010639901648561434,0.0,0.0,Clementi,HDB 3 Room,https://www.99.co/singapore/sale/property/306-clementi-avenue-4-hdb-3tz9xe7ZAWuKEJzSfEYUE4,55,66,360000
183,"1.38382505, 103.88011183737828",0.0,0.08563809484174296,0.015714756307429974,0.0,0.0,0.015231740484321637,0.01053174988635502,0.0,0.0,Bukit Batok West,HDB 5 Room,https://www.99.co/singapore/sale/property/440d-bukit-batok-west-avenue-8-hdb-gogGUnMij5yauuR4fZS488,95,111,695000
184,"1.3877245999999999, 103.77184051156976",0.0,0.08052521084059826,0.007347534954369916,0.0,0.0,0.02731003033241314,0.011698534863846932,0.0,0.0,Jelapang,HDB Executive,https://www.srx.com.sg/listings/100326671/for-sale-jelapang-road-jelapang-road,74,144,578000
