Price,Type,Area
2200,Room for Rent , CBD
2200,Room for Rent , CBD
1900,Room for Rent , Balestier
2180,Room for Rent , CBD
900,Room for Rent , Jurong West
2300,Room for Rent , Changi
2500,Room for Rent , CBD
2450,Room for Rent , CBD
4800,Whole Unit , CBD
2200,Room for Rent , CBD
700,Room for Rent , Jurong West
2000,Room for Rent , Orchard
1250,Room for Rent , Clementi
900,Room for Rent , Punggol
1000,Room for Rent , Marsiling
1300,Room for Rent , Jurong East
900,Room for Rent , Tampines
3800,Whole Unit , Sengkang
900,Room for Rent , Yishun
1400,Room for Rent , Bukit Timah
2500,Whole Unit , Bukit Timah
3000,Room for Rent , Bukit Timah
1000,Room for Rent , Tampines
1500,Room for Rent , Boon Lay
3200,Room for Rent , Lavender
2400,Room for Rent , CBD
1950,Room for Rent , CBD
5200,Whole Unit , CBD
2950,Room for Rent , CBD
3850,Whole Unit , CBD
1800,Room for Rent , Simei
2500,Room for Rent , Simei
1500,Room for Rent , Simei
1600,Room for Rent , Simei
2200,Room for Rent , Simei
550,Room for Rent , Bukit Panjang
850,Room for Rent , Jurong West
1000,Room for Rent , Jurong West
1000,Room for Rent , Tiong Bahru
2000,Room for Rent , Pasir Ris
2250,Room for Rent , CBD
3000,Room for Rent , CBD
5900,Whole Unit , CBD
3000,Room for Rent , CBD
1950,Room for Rent , Tiong Bahru
1900,Room for Rent , CBD
3500,Room for Rent , CBD
2350,Room for Rent , Tiong Bahru
5000,Whole Unit , CBD
2280,Room for Rent , CBD
1050,Room for Rent , Tampines
1300,Room for Rent , Jurong West
880,Room for Rent , Punggol
550,Room for Rent , Hougang
1100,Room for Rent , Yishun
550,Room for Rent , Hougang
750,Room for Rent , Marsiling
2000,Room for Rent , Serangoon
950,Room for Rent , Hougang
1100,Room for Rent , Jurong West
2500,Whole Unit , Tampines
1400,Room for Rent , Serangoon
800,Room for Rent , Marsiling
850,Room for Rent , Bukit Batok
1050,Room for Rent , Bishan
5000,Whole Unit , Serangoon
5000,Whole Unit , Serangoon
