Location_Name,Location_Type,Blk_No,Address,Postal_Code,Full Address,Long,Lat,floor_area_sqm,remaining_lease,Price,Link,Lease_Used,Num_Bed,Num_Toilet
Race Course,HDB 4 Room,681,Race Course Road,,Blk 681 Race Course Road,,,103,62,968000,https://www.srx.com.sg/listings/100247821/for-sale-race-course-road-race-course-road,37.0,3,2.0
Pasir Ris,HDB Executive,210,Pasir Ris Street 21,,Blk 210 Pasir Ris Street 21,,,147,69,968000,https://www.srx.com.sg/listings/100247781/for-sale-pasir-ris-street-21-pasir-ris-street-21,30.0,4,2.0
Sims,HDB 4 Room,40,Sims Drive,,Blk 40 Sims Drive,,,109,66,350000,https://www.srx.com.sg/listings/100247631/for-sale-sims-drive-sims-drive,33.0,3,2.0
Bukit Batok West,HDB 5 Room,442B,Bukit Batok West Avenue 8,,Blk 442B Bukit Batok West Avenue 8,,,112,95,350000,https://www.srx.com.sg/listings/100247461/for-sale-bukit-batok-west-avenue-8-bukit-batok-west-avenue-8,4.0,3,2.0
Anchorvale,HDB 5 Room,317A,Anchorvale Road,,Blk 317A Anchorvale Road,,,111,79,350000,https://www.srx.com.sg/listings/98755871/for-sale-anchorvale-road-anchorvale-road,20.0,3,2.0
Hoy Fatt,HDB 3 Room,28,Hoy Fatt Road,,Blk 28 Hoy Fatt Road,,,60,43,350000,https://www.srx.com.sg/listings/98754701/for-sale-hoy-fatt-road-hoy-fatt-road,56.0,2,1.0
Punggol Vue,HDB 3 Room,327A,Punggol Vue,,Blk 327A Punggol Vue,,,68,94,350000,https://www.srx.com.sg/listings/98754211/for-sale-punggol-vue-sumang-walk,5.0,2,2.0
Jalan Membina,HDB 5 Room,118B,Jalan Membina,,Blk 118B Jalan Membina,,,110,79,350000,https://www.srx.com.sg/listings/98075521/for-sale-jalan-membina-jalan-membina,20.0,3,2.0
Marine Terrace,HDB 5 Room,3,Marine Terrace,,Blk 3 Marine Terrace,,,120,51,630000,https://www.srx.com.sg/listings/97926491/for-sale-marine-terrace-marine-terrace,48.0,3,2.0
Toh Guan,HDB Executive,285C,Toh Guan Road,,Blk 285C Toh Guan Road,,,145,74,760000,https://www.srx.com.sg/listings/98751941/for-sale-toh-guan-road-toh-guan-road,25.0,4,3.0
Sembawang,HDB 5 Room,410,Sembawang Drive,,Blk 410 Sembawang Drive,,,110,77,760000,https://www.srx.com.sg/listings/98446401/for-sale-sembawang-drive-sembawang-drive,22.0,3,2.0
Rivervale,HDB 5 Room,145,Rivervale Drive,,Blk 145 Rivervale Drive,,,116,75,575000,https://www.srx.com.sg/listings/98748481/for-sale-rivervale-drive-spacious-5-room-walk-to-rivervale-mall-and-rumbia,24.0,3,2.0
Fernvale Link,HDB 4 Room,416C,Fernvale Link,,Blk 416C Fernvale Link,,,93,92,575000,https://www.srx.com.sg/listings/98480331/for-sale-fernvale-link-high-floor-unblock-unit,7.0,3,2.0
Shunfu Gardens,HDB 5 Room,312,Shunfu Gardens,,Blk 312 Shunfu Gardens,,,125,61,575000,https://www.srx.com.sg/listings/98592071/for-sale-shunfu-gardens-312-shunfu-road,38.0,3,2.0
Punggol,HDB 4 Room,677A,Punggol Drive,,Blk 677A Punggol Drive,,,93,92,450000,https://www.srx.com.sg/listings/98747621/for-sale-punggol-drive-punggol-drive,7.0,3,2.0
