,Coordinates,FairpricePoints,HosPoints,MallPoints,MRTPoints,ParksPoints,PriSchPoints,SecSchPoints,TertairyPoints,UniPoints,Area,Location_Type,Link,floor_area_sqm,remaining_lease,Sale_Price,Location,Lease_Points,SQM_Points,Total_Points,History_Avg_Point,Percent
23,"1.2777614, 103.80708228468399",0.012678234414222896,0.07948498131531073,0.0025263195659248044,0.007684136655462876,0.002389916766854442,0.016382974033162693,0.0,0.0,0.0,TELOK BLANGAH,HDB 4 ROOM,https://www.srx.com.sg/listings/100323241/for-sale-telok-blangah-street-31-telok-blangah-street-31,94,93,580000,BUKIT MERAH,0.05,0.035,0.20614656275093843,0.3079065032512523,33.47551295185254
24,"1.2778847999999998, 103.82255315",0.0059010117746083664,0.09286387541342575,0.0,0.0,0.0013110162575952048,0.021833203046090648,0.020419269905150368,0.0,0.0,TELOK BLANGAH CRESCENT,HDB 3 ROOM,https://www.srx.com.sg/listings/100131631/for-sale-telok-blangah-crescent-telok-blangah-crescent,51,65,525000,BUKIT MERAH,0.03,0.02,0.1923283763968703,0.0,0.0
25,"1.2780475, 103.82150331414044",0.005732247381842047,0.09144768105318013,0.0,0.0,0.0013699498849417248,0.018721729581026872,0.017623444771008755,0.0,0.0,TELOK BLANGAH CRESCENT,HDB 3 ROOM,https://www.srx.com.sg/listings/99870271/for-sale-telok-blangah-crescent-telok-blangah-crescent,51,76,1498888,BUKIT MERAH,0.035,0.02,0.18989505267199952,0.0,0.0
26,"1.2783515, 103.8235698",0.006642380318938473,0.0974744991758632,0.0,0.0031230769180608446,0.0021837341462658953,0.02258337446394622,0.014018324468411059,0.0,0.0,LOWER DELTA,HDB 2 ROOM,https://www.srx.com.sg/listings/100137551/for-sale-lower-delta-road-lower-delta-road,46,43,1200000,LOWER DELTA,0.02,0.02,0.18602538949148567,0.0,0.0
27,"1.27866735, 103.81924021016684",0.006079300589669889,0.12651747972700045,0.0,0.0,0.0023820681582461933,0.014406644822633558,0.009162383066346438,0.0,0.0,TELOK BLANGAH CRESCENT,HDB 3 ROOM,https://www.srx.com.sg/listings/100446111/for-sale-telok-blangah-crescent-telok-blangah-crescent,59,66,945000,BUKIT MERAH,0.03,0.02,0.2085478763638965,0.0,0.0
28,"1.27869535, 103.82836242524891",0.0115518019904752,0.11286648775583337,0.00237845244847995,0.003564131288959293,0.0,0.021233746684414825,0.005435951776846604,0.0,0.0,JALAN BUKIT MERAH,HDB 3 ROOM,https://www.srx.com.sg/listings/99467201/for-sale-jalan-bukit-merah-jalan-bukit-merah,51,59,499000,BUKIT MERAH,0.03,0.02,0.20703057194500923,0.0,0.0
29,"1.2789154, 103.82756579624117",0.01702531663635235,0.14171026388669697,0.002449898996941429,0.0037101610157181594,0.0010525290976521385,0.021759702595106338,0.006006613751024503,0.0,0.0,JALAN BUKIT MERAH,HDB 4 ROOM,https://www.srx.com.sg/listings/100338851/for-sale-jalan-bukit-merah-jalan-bukit-merah,73,105,780000,BUKIT MERAH,0.05,0.025,0.26871448597949193,0.3079065032512523,43.635727589719075
30,"1.2802284, 103.82573819999999",0.01239229200098295,0.22299222063631102,0.0028042672278822713,0.004398569331857268,0.0013155184743994738,0.021469708055774694,0.006705010255830426,0.0,0.0,JALAN BUKIT MERAH,HDB 3 ROOM,https://www.99.co/singapore/sale/property/113-jalan-bukit-merah-hdb-Gpfuv95DNXCKH3WyMGjFr6,45,71,380000,BUKIT MERAH,0.035,0.02,0.32707758598303815,0.0,0.0
31,"1.2803229, 103.82927305",0.009755644184125768,0.11817884833534856,0.0029640261556204686,0.004348817986200204,0.0011190769660563522,0.018157489638783574,0.00440529528947369,0.0,0.0,KIM TIAN,HDB 3 ROOM,https://www.srx.com.sg/listings/100325051/for-sale-kim-tian-road-kim-tian-road,52,65,585000,BUKIT MERAH,0.03,0.02,0.20892919855560863,0.0,0.0
32,"1.2807219, 103.8260137",0.01305836501424092,0.24192405405520845,0.0030712903284982824,0.004826292062173124,0.001406446142807985,0.021801884264591752,0.006076240529688016,0.0,0.0,JALAN BUKIT MERAH,HDB 3 ROOM,https://www.srx.com.sg/listings/100628681/for-sale-jalan-bukit-merah-jalan-bukit-merah,43,60,780000,BUKIT MERAH,0.03,0.01,0.33216457239720854,0.0,0.0
